"jurisdiccion_de_residencia_id","jurisdiccion_de_residencia_nombre","tipo_de_parto_id","tipo_de_parto_nombre","sexo","sexo_nombre","edad_de_la_madre_grupos_id","edad_de_la_madre_grupos_nombre","semanas_de_gestacion_id","semanas_de_gestacion_nombre","instruccion_de_la_madre_id","instruccion_de_la_madre_nombre","Intervalos_de_peso_al_nacer_id","intervalos_de_peso_al_nacer_nombre","cantidad_nacimientos"
38,"Jujuy",1,"Simple",1,"Varón",3,"20 a 24",5,"32 a 36",6,"Terciaria/Universitaria Incomp",5,"2000 a 2499",9
98,"Otro país",1,"Simple",1,"Varón",3,"20 a 24",6,"37 a 41",3,"Primaria/C. EGB Completa",8,"De 3500 y más",2
94,"Tierra del Fuego",1,"Simple",2,"Mujer",7,"40 a 44",6,"37 a 41",6,"Terciaria/Universitaria Incomp",8,"De 3500 y más",1
50,"Mendoza",1,"Simple",2,"Mujer",3,"20 a 24",4,"28 a 31",5,"Secundaria/Polimodal Completa",3,"1000 a 1499",2
6,"Buenos Aires",1,"Simple",2,"Mujer",9,"Sin especificar",6,"37 a 41",8,"Sin especificar",6,"2500 a 2999",143
6,"Buenos Aires",1,"Simple",1,"Varón",5,"30 a 34",5,"32 a 36",3,"Primaria/C. EGB Completa",6,"2500 a 2999",82
18,"Corrientes",1,"Simple",1,"Varón",4,"25 a 29",5,"32 a 36",6,"Terciaria/Universitaria Incomp",4,"1500 a 1999",1
14,"Córdoba",1,"Simple",2,"Mujer",5,"30 a 34",6,"37 a 41",7,"Terciaria/Universitaria Comple",4,"1500 a 1999",4
99,"Lugar no especificado",1,"Simple",9,"Sin espeficar",9,"Sin especificar",6,"37 a 41",8,"Sin especificar",8,"De 3500 y más",7
26,"Chubut",1,"Simple",2,"Mujer",4,"25 a 29",5,"32 a 36",6,"Terciaria/Universitaria Incomp",7,"3000 a 3499",1
14,"Córdoba",2,"Múltiple",1,"Varón",5,"30 a 34",6,"37 a 41",4,"Secundaria/Polimodal Incomplet",8,"De 3500 y más",2
