mes_inicio,provincia_origen,provincia_destino,viajes,viajeros,edicion
2022-10,Corrientes,Santa Fe,14,27,previaje 3
2022-10,Corrientes,Santiago del Estero,6,9,previaje 3
2022-10,Corrientes,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",95,164,previaje 3
2022-10,Corrientes,Tucumán,3,5,previaje 3
2022-10,Entre Ríos,Buenos Aires,100,231,previaje 3
2022-10,Entre Ríos,Catamarca,37,71,previaje 3
2022-10,Entre Ríos,Chubut,311,517,previaje 3
2022-10,Entre Ríos,Ciudad Autónoma de Buenos Aires,239,478,previaje 3
2022-10,Entre Ríos,Córdoba,220,582,previaje 3
2022-10,Entre Ríos,Corrientes,25,58,previaje 3
2022-10,Entre Ríos,Entre Ríos,137,338,previaje 3
2022-10,Entre Ríos,Jujuy,151,321,previaje 3
2022-10,Entre Ríos,La Pampa,17,38,previaje 3
2022-10,Entre Ríos,La Rioja,89,159,previaje 3
2022-10,Entre Ríos,Mendoza,164,366,previaje 3
2022-10,Entre Ríos,Misiones,203,465,previaje 3
2022-10,Entre Ríos,Neuquén,102,203,previaje 3
2022-10,Entre Ríos,Río Negro,289,624,previaje 3
2022-10,Entre Ríos,Salta,329,625,previaje 3
2022-10,Entre Ríos,San Juan,25,62,previaje 3
2022-10,Entre Ríos,San Luis,47,105,previaje 3
2022-10,Entre Ríos,Santa Cruz,316,595,previaje 3
2022-10,Entre Ríos,Santa Fe,43,85,previaje 3
2022-10,Entre Ríos,Santiago del Estero,114,212,previaje 3
2022-10,Entre Ríos,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",388,658,previaje 3
2022-10,Entre Ríos,Tucumán,44,116,previaje 3
2022-10,Formosa,Buenos Aires,28,55,previaje 3
2022-10,Formosa,Chubut,6,14,previaje 3
2022-10,Formosa,Ciudad Autónoma de Buenos Aires,61,101,previaje 3
2022-10,Formosa,Córdoba,9,16,previaje 3
2022-10,Formosa,Corrientes,9,28,previaje 3
2022-10,Formosa,Formosa,4,7,previaje 3
2022-10,Formosa,Mendoza,10,12,previaje 3
2022-10,Formosa,Misiones,4,4,previaje 3
2022-10,Formosa,Neuquén,9,14,previaje 3
2022-10,Formosa,Río Negro,3,12,previaje 3
2022-10,Formosa,Santa Cruz,14,31,previaje 3
2022-10,Formosa,Santa Fe,3,5,previaje 3
2022-10,Formosa,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",8,18,previaje 3
2022-10,Jujuy,Buenos Aires,123,213,previaje 3
2022-10,Jujuy,Catamarca,6,21,previaje 3
2022-10,Jujuy,Chubut,17,33,previaje 3
2022-10,Jujuy,Ciudad Autónoma de Buenos Aires,268,458,previaje 3
2022-10,Jujuy,Córdoba,93,139,previaje 3
2022-10,Jujuy,Corrientes,5,16,previaje 3
2022-10,Jujuy,Jujuy,89,201,previaje 3
2022-10,Jujuy,Mendoza,15,29,previaje 3
2022-10,Jujuy,Misiones,51,83,previaje 3
2022-10,Jujuy,Neuquén,4,9,previaje 3
2022-10,Jujuy,Río Negro,23,45,previaje 3
2022-10,Jujuy,Salta,75,168,previaje 3
2022-10,Jujuy,San Juan,4,6,previaje 3
2022-10,Jujuy,San Luis,3,5,previaje 3
2022-10,Jujuy,Santa Cruz,20,39,previaje 3
2022-10,Jujuy,Santa Fe,5,5,previaje 3
2022-10,Jujuy,Santiago del Estero,12,32,previaje 3
2022-10,Jujuy,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",18,32,previaje 3
2022-10,Jujuy,Tucumán,24,51,previaje 3
2022-10,La Pampa,Buenos Aires,51,103,previaje 3
2022-10,La Pampa,Catamarca,22,51,previaje 3
2022-10,La Pampa,Chubut,177,282,previaje 3
2022-10,La Pampa,Ciudad Autónoma de Buenos Aires,135,218,previaje 3
2022-10,La Pampa,Córdoba,63,140,previaje 3
2022-10,La Pampa,Corrientes,9,31,previaje 3
2022-10,La Pampa,Entre Ríos,15,24,previaje 3
2022-10,La Pampa,Jujuy,47,74,previaje 3
2022-10,La Pampa,La Pampa,21,50,previaje 3
2022-10,La Pampa,La Rioja,35,74,previaje 3
2022-10,La Pampa,Mendoza,32,65,previaje 3
2022-10,La Pampa,Misiones,127,251,previaje 3
2022-10,La Pampa,Neuquén,37,75,previaje 3
2022-10,La Pampa,Río Negro,96,137,previaje 3
2022-10,La Pampa,Salta,86,144,previaje 3
2022-10,La Pampa,San Juan,10,23,previaje 3
2022-10,La Pampa,San Luis,22,47,previaje 3
2022-10,La Pampa,Santa Cruz,86,152,previaje 3
2022-10,La Pampa,Santa Fe,4,12,previaje 3
2022-10,La Pampa,Santiago del Estero,11,17,previaje 3
2022-10,La Pampa,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",52,83,previaje 3
2022-10,La Pampa,Tucumán,17,44,previaje 3
2022-10,La Rioja,Buenos Aires,50,87,previaje 3
2022-10,La Rioja,Catamarca,21,44,previaje 3
2022-10,La Rioja,Chubut,6,11,previaje 3
2022-10,La Rioja,Ciudad Autónoma de Buenos Aires,120,202,previaje 3
2022-10,La Rioja,Córdoba,33,61,previaje 3
2022-10,La Rioja,La Rioja,28,60,previaje 3
2022-10,La Rioja,Mendoza,12,22,previaje 3
2022-10,La Rioja,Misiones,22,40,previaje 3
2022-10,La Rioja,Río Negro,12,23,previaje 3
2022-10,La Rioja,Salta,6,16,previaje 3
2022-10,La Rioja,San Juan,12,27,previaje 3
2022-10,La Rioja,Santa Cruz,10,21,previaje 3
2022-10,La Rioja,Santa Fe,3,3,previaje 3
2022-10,La Rioja,Santiago del Estero,4,10,previaje 3
2022-10,La Rioja,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",9,16,previaje 3
2022-10,Mendoza,Buenos Aires,1097,2077,previaje 3
